stelling (-1: mee oneens; 0=neutraal; 1 eens),SGP,VVD,CDA,FVD,CU,JA21,NSC,BBB,VOLT,DENK,PVV,SP,Partij voor de Dieren,GL-PvdA,D66
De hypotheekrenteaftrek moet worden afgeschaft,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,1
De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden,1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1
Het minimumloon voor volwassenen moet gelden vanaf 18 jaar,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1
Lelystad Airport moet open voor commerciële luchtvaart,0,1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1
Gemeenten moeten zelf kunnen bepalen of ze statushouders voorrang geven op een sociale huurwoning,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,1
De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale media,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1
Nederland moet meer geld uitgeven aan ontwikkelingshulp,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,1,1,1
De overheid moet strenger controleren wat jongeren leren bij kerken moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing,-1,1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,1
Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1
Er moet minder geld naar de publieke omroep,1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1
Nederland moet de Palestijnse staat zo snel mogelijk erkennen,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,1,1
Voor het eenmalig gebruik van plastic zoals bekers en eetbakjes betaal je extra; die heffing moet verdwijnen,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,-1,1
De huurprijs van een sociale huurwoning mag de komende drie jaar niet harder stijgen dan de inflatie,0,-1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1
De regering moet meer geld uitgeven aan wetenschappelijk onderzoek,1,1,1,-1,1,1,1,-1,1,1,-1,1,1,1,1
Gemeenten en provincies moeten makkelijker een vergunning krijgen om wolven af te schieten die problemen veroorzaken,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,1
De rechter moet mensen kunnen straffen door het dragen van een enkelband in plaats van een korte celstraf,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,1,1,1
Als je werkloos wordt; moet je maximaal 12 maanden WW krijgen. Dat is nu nog 24 maanden.,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
De regering moet ervoor zorgen dat er in 2030 minstens de helft minder stikstof in de lucht komt ten opzichte van 2019,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,1
Abortus moet uit het Wetboek van Strafrecht,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1
Verhoging van het minimumloon moet niet langer automatisch leiden tot verhoging van de bijstandsuitkering.,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1
De hoeveelheid vee in Nederland moet met minstens de helft omlaag,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1
Illegaal verblijf in Nederland moet strafbaar worden,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1
In plaats van belasting te betalen voor het bezig van een auto moeten automobilisten per gereden kilometer gaan betalen,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,1
Het eigen risico bij zorgverzekeringen wordt per 2027 gehalveerd. Dat moet worden teruggedraaid,1,1,1,-1,1,1,0,-1,1,-1,-1,-1,-1,-1,1
Psychisch lijden mag geen reden zijn voor euthanasie,1,-1,-1,1,1,0,1,-1,-1,-1,0,-1,-1,-1,-1
De regering moet het bouwen van woningen op landbouwgrond makkelijker maken,-1,1,1,-1,1,1,1,-1,1,1,-1,1,1,1,1
Er moet een wet komen waarin staat dat de overheid nooit de afkomst of nationaliteit van mensen mag gebruiken om risico's op criminaliteit in te schatten,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,1,1,1,1
De minimumleeftijd voor sekswerk moet omhoog van 18 naar 21 jaar,1,-1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1
Nederland moet in een wet vastleggen dat uiterlijk in 2035 ten minste 3.5 procent van het bruto binnenlands product aan defensie wordt uitgegeven,-1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1
Er moeten meer kerncentrales komen in Nederland,1,1,1,1,1,1,1,1,1,0,1,-1,-1,-1,1
